season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Main,Rogue__28-European_Team_29-,Finn,6,1,5,16.7,1.5,3.33,3.67,1.55,216.17,7.26,10.3,346,10100,340,58.5,17,21.3
10,Main,Rogue__28-European_Team_29-,Hans sama,6,1,5,16.7,2.33,2.33,3.5,2.5,254.83,8.56,11.3,378,8400,282,66,26.4,23.2
10,Main,Rogue__28-European_Team_29-,Inspired,6,1,5,16.7,2.5,3.5,3.33,1.67,189.5,6.36,10.1,339,9200,308,66,28.3,20.8
10,Main,Rogue__28-European_Team_29-,Larssen,6,1,5,16.7,1.5,2.17,4.5,2.77,233.83,7.85,10.2,343,10600,354,67.9,17,21.1
10,Main,Rogue__28-European_Team_29-,Vander,6,1,5,16.7,1,3.17,5.17,1.95,36.5,1.23,6.6,220,4000,133,69.8,11.3,13.5
10,Main,Suning,Angel,19,12,7,63.2,3.37,2.11,6.47,4.68,280.42,8.23,13.3,390,16000,470,65.6,22.5,21
10,Main,Suning,Bin,19,12,7,63.2,3.89,2.89,5.16,3.13,291,8.54,14.6,429,18300,536,60.4,26,23.1
10,Main,Suning,huanfeng,19,12,7,63.2,4,2.16,5.79,4.54,320.42,9.4,15,439,21200,622,65.3,26.7,23.6
10,Main,Suning,SofM,19,12,7,63.2,2.79,2.37,7,4.13,235.89,6.92,12.5,366,12500,367,65.3,18.6,19.7
10,Main,Suning,SwordArt,19,12,7,63.2,0.95,3.26,8.42,2.87,38.84,1.14,8,234,4800,140,62.5,6.3,12.6
10,Main,Team_Liquid,Broxah,6,3,3,50,2.17,1.67,7,5.5,198.5,6.12,11,339,9600,298,70.5,16.7,19.5
10,Main,Team_Liquid,CoreJJ,6,3,3,50,1.33,2.17,7.67,4.15,52.83,1.63,8,248,6700,205,69.2,10.3,14.3
10,Main,Team_Liquid,Impact,6,3,3,50,1.83,2.5,4.5,2.53,233.83,7.21,10.9,335,12100,374,48.7,14.1,19.2
10,Main,Team_Liquid,Jensen,6,3,3,50,3.67,1.5,5,5.78,293.83,9.06,13.1,403,14600,450,66.7,28.2,23.2
10,Main,Team_Liquid,Tactical,6,3,3,50,4,2.83,5.33,3.29,283.67,8.75,13.4,414,15200,469,71.8,30.8,23.8
10,Main,Top_Esports,369,15,9,6,60,2.67,2.2,4.27,3.15,273,8.33,13,397,15000,457,51.5,19.8,21.9
10,Main,Top_Esports,JackeyLove,15,9,6,60,3,2.53,7.27,4.05,297.47,9.07,13.8,420,20600,627,76.2,22.3,23.1
10,Main,Top_Esports,Karsa,15,9,6,60,3.73,1.8,5.73,5.26,204.4,6.24,11.8,359,10800,331,70.3,27.7,19.8
10,Main,Top_Esports,knight,15,9,6,60,3.47,1.67,4.53,4.8,293.2,8.94,13.4,410,14100,431,59.4,25.7,22.6
10,Main,Top_Esports,yuyanjia,15,9,6,60,0.6,2.53,8.07,3.42,34.6,1.06,7.5,229,4500,139,64.4,4.5,12.6
10,Main,TSM,Biofrost,6,0,6,0,0.5,3,4.33,1.61,40.17,1.2,6.9,207,3900,117,60.4,6.3,12.9
10,Main,TSM,Bjergsen,6,0,6,0,1.67,2.5,3.5,2.07,281,8.39,12.2,364,11100,331,64.6,20.8,22.8
10,Main,TSM,Broken Blade,6,0,6,0,2.17,3,2.67,1.61,239.33,7.15,11.8,351,12600,376,60.4,27.1,22
10,Main,TSM,Doublelift,6,0,6,0,1.83,3.5,2.67,1.29,279.67,8.35,12.1,362,15400,459,56.3,22.9,22.7
10,Main,TSM,Spica,6,0,6,0,1.83,2.17,3.17,2.31,208.83,6.24,10.5,312,11200,335,62.5,22.9,19.6
